"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"D,12,JC","D","12","JC","NonNative","41","4","1","Pa5-Pa4","3579.96",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","33","3","3","Pa5-Ba5","-3810.47",0,"Different","Same","Miss"
"D,11,GJ","D","11","GJ","NonNative","34","3","4","Ba2-Pa2","3704.05",1,"Different","Different","Hit"
"D,11,GJ","D","11","GJ","NonNative","31","3","1","Pa4-Pa2","3358.59",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","32","3","2","Ba3-Ba2","4280.65",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","11","1","1","Pa2-Pa4","5430.83",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","13","1","3","Pa2-Ba2","4416.22",1,"Different","Different","Hit"
"D,11,GJ","D","11","GJ","NonNative","14","1","4","Ba5-Pa4","4974.78",1,"Different","Different","Hit"
"D,11,GJ","D","11","GJ","NonNative","12","1","2","Ba2-Ba3","3925.87",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","44","4","4","Ba3-Pa4","3553.22",1,"Different","Different","Hit"
"D,11,GJ","D","11","GJ","NonNative","43","4","3","Pa2-Ba3","4041.46",1,"Different","Different","Hit"
"D,11,GJ","D","11","GJ","NonNative","41","4","1","Pa5-Pa4","3307.05",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","42","4","2","Ba5-Ba3","4204.90",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","23","2","3","Pa4-Ba3","3860.10",1,"Different","Different","Hit"
"D,11,GJ","D","11","GJ","NonNative","21","2","1","Pa5-Pa2","3224.71",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","22","2","2","Ba5-Ba2","4976.42",1,"Same","Same","CR"
"D,11,GJ","D","11","GJ","NonNative","24","2","4","Ba3-Pa4","3596.70",1,"Different","Different","Hit"
"D,10,SC","D","10","SC","NonNative","13","1","3","Pa2-Ba2","-4607.94",0,"Different","Same","Miss"
"D,10,SC","D","10","SC","NonNative","14","1","4","Ba5-Pa4","-7458.04",0,"Different","Same","Miss"
"D,10,SC","D","10","SC","NonNative","12","1","2","Ba2-Ba3","3720.21",1,"Same","Same","CR"
"D,10,SC","D","10","SC","NonNative","11","1","1","Pa2-Pa4","3331.75",1,"Same","Same","CR"
"D,10,SC","D","10","SC","NonNative","32","3","2","Ba3-Ba2","6726.21",1,"Same","Same","CR"
"D,10,SC","D","10","SC","NonNative","33","3","3","Pa5-Ba5","-7825.87",0,"Different","Same","Miss"
"D,10,SC","D","10","SC","NonNative","31","3","1","Pa4-Pa2","3372.99",1,"Same","Same","CR"
"D,10,SC","D","10","SC","NonNative","34","3","4","Ba2-Pa2","-5646.64",0,"Different","Same","Miss"
"D,10,SC","D","10","SC","NonNative","22","2","2","Ba5-Ba2","3524.38",1,"Same","Same","CR"
"D,10,SC","D","10","SC","NonNative","24","2","4","Ba3-Pa4","-6080.20",0,"Different","Same","Miss"
"D,10,SC","D","10","SC","NonNative","23","2","3","Pa4-Ba3","-15941.03",0,"Different","Same","Miss"
"D,10,SC","D","10","SC","NonNative","21","2","1","Pa5-Pa2","3552.71",1,"Same","Same","CR"
"D,10,SC","D","10","SC","NonNative","43","4","3","Pa2-Ba3","-7930.50",0,"Different","Same","Miss"
"D,10,SC","D","10","SC","NonNative","42","4","2","Ba5-Ba3","3217.51",1,"Same","Same","CR"
"D,10,SC","D","10","SC","NonNative","41","4","1","Pa5-Pa4","3123.80",1,"Same","Same","CR"
"D,10,SC","D","10","SC","NonNative","44","4","4","Ba3-Pa4","-7211.15",0,"Different","Same","Miss"
"D,14,AC","D","14","AC","NonNative","11","1","1","Pa2-Pa4","3446.12",1,"Same","Same","CR"
"D,14,AC","D","14","AC","NonNative","12","1","2","Ba2-Ba3","-10903.21",0,"Same","Different","False+"
"D,14,AC","D","14","AC","NonNative","14","1","4","Ba5-Pa4","3711.25",1,"Different","Different","Hit"
"D,14,AC","D","14","AC","NonNative","13","1","3","Pa2-Ba2","4744.15",1,"Different","Different","Hit"
"D,14,AC","D","14","AC","NonNative","22","2","2","Ba5-Ba2","3452.27",1,"Same","Same","CR"
"D,14,AC","D","14","AC","NonNative","24","2","4","Ba3-Pa4","4025.66",1,"Different","Different","Hit"
"D,14,AC","D","14","AC","NonNative","21","2","1","Pa5-Pa2","3519.70",1,"Same","Same","CR"
"D,14,AC","D","14","AC","NonNative","23","2","3","Pa4-Ba3","3319.39",1,"Different","Different","Hit"
"D,14,AC","D","14","AC","NonNative","32","3","2","Ba3-Ba2","3660.99",1,"Same","Same","CR"
"D,14,AC","D","14","AC","NonNative","33","3","3","Pa5-Ba5","5384.23",1,"Different","Different","Hit"
"D,14,AC","D","14","AC","NonNative","31","3","1","Pa4-Pa2","3119.19",1,"Same","Same","CR"
"D,14,AC","D","14","AC","NonNative","34","3","4","Ba2-Pa2","3601.86",1,"Different","Different","Hit"
"D,14,AC","D","14","AC","NonNative","43","4","3","Pa2-Ba3","3042.80",1,"Different","Different","Hit"
"D,14,AC","D","14","AC","NonNative","41","4","1","Pa5-Pa4","3229.15",1,"Same","Same","CR"
"D,14,AC","D","14","AC","NonNative","42","4","2","Ba5-Ba3","3433.55",1,"Same","Same","CR"
"D,14,AC","D","14","AC","NonNative","44","4","4","Ba3-Pa4","3288.00",1,"Different","Different","Hit"
"C,2,MC","C","2","MC","NonNative","24","2","4","Ba3-Pa4","3531.77",1,"Different","Different","Hit"
"C,2,MC","C","2","MC","NonNative","23","2","3","Pa4-Ba3","3678.51",1,"Different","Different","Hit"
"C,2,MC","C","2","MC","NonNative","21","2","1","Pa5-Pa2","3585.02",1,"Same","Same","CR"
"C,2,MC","C","2","MC","NonNative","22","2","2","Ba5-Ba2","3303.04",1,"Same","Same","CR"
